Time,Thrust N,x-Thrust N,y-Thrust N,Acceleration Feet/sec/sec,x-Acceleration Feet/sec/sec,y-Acceleration Feet/sec/sec,Acceleration Total Feet/sec/sec,x-Acceleration Total Feet/sec/sec,y-Acceleration Total Feet/sec/sec,Velocity Feet / Sec,x-Velocity Feet / Sec,y-Velocity Feet / Sec,Mach number,Altitude Feet,Range Feet,Cd,Drag force N,x-Drag force N,y-Drag force N,Longitudinal moment of inertia Ounces-Inches^2,Radial moment of inertia Ounces-Inches^2,Flight angle Deg.,Gamma - Velocity tangent angle Deg.,Wind angle of attack Deg.,CG Inches,Mass Ounces,CP Inches,CNa - normal force coefficient,Static stability margin Calibers,Angular acceleration Rad/s/s,Torque N-m,Pitch rate rad/s,Pitch force N,x-Wind velocity Miles / Hour,Cross wind drag N,Cross wind lift N,X Wind induced acceleration Feet/sec/sec,Y Wind induced lift Feet/sec/sec,X Wind drift velocity Feet / Sec,Y Wind drift velocity Feet / Sec,Thermal rise velocity Miles / Hour,Gravity Feet/sec/sec,Pressure KPa,Temperature Degrees Fahrenheit,Density kg/m^3,Viscosity ?,Kinematic viscosity ?,Sound velocity Feet / Sec,Corrective moment coefficient,Damping moment coefficient,Nat. Freq. at zero roll rate rad/s,Damping Ratio,Prec. Freq. rad/s,Nat. Coupled Frequency rad/s,Coupled Damping Ratio,Booster 2 Velocity Feet / Sec,Booster 2 x-Velocity Feet / Sec,Booster 2 y-Velocity Feet / Sec,Booster 2 range Feet,Booster 2 altitude Feet,Booster 2 flight angle Deg.,Booster 1 Velocity Feet / Sec,Booster 1 x-Velocity Feet / Sec,Booster 1 y-Velocity Feet / Sec,Booster 1 range Feet,Booster 1 altitude Feet,Booster 1 flight angle 
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.483705, 0.000000, 0.000000, 0.000000,1679.816002,10.254288,89.999999, 0.000000, 0.000000,10.890000,22.161916,14.295000, 7.456565, 1.536398, 0.000000, 0.000000, 0.000000, 0.000000, 1.994398, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101299.762922,60.653000, 1.220803, 0.000018, 0.000158,1118.228000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.017500,51.228750,-0.000000,51.228750,267.647000, 0.000000,267.647000,235.558000, 0.000000,235.558000, 2.989000, 0.000000, 2.989000, 0.002673, 0.022000, 0.000000, 0.483705, 0.000496, 0.000000,-0.000496,1678.288464,10.245558,89.999999,89.999999, 0.000000,10.883000,22.150691,14.295000, 7.456565, 1.539385, 0.000000, 0.000000, 0.000000, 0.000000, 1.994380, 0.018416, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101299.698467,60.653000, 1.220802, 0.000018, 0.000158,1118.228000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.035000,49.338333,-0.000000,49.338333,257.935000, 0.000000,257.935000,225.846000, 0.000000,225.846000, 7.018000, 0.000000, 7.018000, 0.006276, 0.112000, 0.000000, 0.483705, 0.003098, 0.000000,-0.003098,1676.197061,10.233618,89.999999,89.999999, 0.000000,10.874000,22.135339,14.295000, 7.456565, 1.543476, 0.000000, 0.000000, 0.000000, 0.000000, 1.994361, 0.018416, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101299.388054,60.653000, 1.220799, 0.000018, 0.000158,1118.228000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.052500,47.687500,-0.000000,47.687500,249.447000, 0.000000,249.447000,217.358000, 0.000000,217.358000,10.890000, 0.000000,10.890000, 0.009739, 0.271000, 0.000000, 0.483705, 0.007699, 0.000000,-0.007699,1674.179270,10.222111,89.999999,89.999999, 0.000000,10.865000,22.120543,14.295000, 7.456565, 1.547424, 0.000000, 0.000000, 0.000000, 0.000000, 1.994343, 0.018415, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101298.825807,60.652000, 1.220793, 0.000018, 0.000158,1118.227000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.070000,46.625000,-0.000000,46.625000,244.014000, 0.000000,244.014000,211.925000, 0.000000,211.925000,14.632000, 0.000000,14.632000, 0.013085, 0.497000, 0.000000, 0.483705, 0.014094, 0.000000,-0.014094,1672.209982,10.210892,89.999999,89.999999, 0.000000,10.857000,22.106119,14.295000, 7.456565, 1.551278, 0.000000, 0.000000, 0.000000, 0.000000, 1.994324, 0.018415, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101298.021123,60.652000, 1.220786, 0.000018, 0.000158,1118.226000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.087500,46.003750,-0.000000,46.003750,240.873000, 0.000000,240.873000,208.784000, 0.000000,208.784000,18.311000, 0.000000,18.311000, 0.016375, 0.788000, 0.000000, 0.483705, 0.022246, 0.000000,-0.022246,1670.276664,10.199890,89.999999,89.999999, 0.000000,10.848000,22.091973,14.295000, 7.456565, 1.555062, 0.000000, 0.000000, 0.000000, 0.000000, 1.994305, 0.018414, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101296.980169,60.651000, 1.220775, 0.000018, 0.000158,1118.225000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.105000,45.453000,-0.000000,45.453000,238.088000, 0.000000,238.088000,205.999000, 0.000000,205.999000,21.936000, 0.000000,21.936000, 0.019617, 1.142000, 0.000000, 0.483706, 0.032090, 0.000000,-0.032090,1668.356206,10.188973,89.999999,89.999999, 0.000000,10.840000,22.077936,14.295000, 7.456565, 1.558822, 0.000000, 0.000000, 0.000000, 0.000000, 1.994287, 0.018414, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101295.706523,60.649000, 1.220763, 0.000018, 0.000158,1118.224000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.122500,45.078500,-0.000000,45.078500,236.211000, 0.000000,236.211000,204.122000, 0.000000,204.122000,25.524000, 0.000000,25.524000, 0.022825, 1.560000, 0.000000, 0.483706, 0.043597, 0.000000,-0.043597,1666.471005,10.178267,89.999999,89.999999, 0.000000,10.832000,22.064171,14.295000, 7.456565, 1.562514, 0.000000, 0.000000, 0.000000, 0.000000, 1.994268, 0.018413, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101294.203215,60.648000, 1.220748, 0.000018, 0.000158,1118.222000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.140000,44.704000,-0.000000,44.704000,234.324000, 0.000000,234.324000,202.235000, 0.000000,202.235000,29.078000, 0.000000,29.078000, 0.026004, 2.040000, 0.000000, 0.483707, 0.056734, 0.000000,-0.056734,1664.583881,10.167561,89.999999,89.999999, 0.000000,10.823000,22.050405,14.295000, 7.456565, 1.566211, 0.000000, 0.000000, 0.000000, 0.000000, 1.994249, 0.018413, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101292.472430,60.646000, 1.220731, 0.000018, 0.000158,1118.221000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.157500,44.755000,-0.000000,44.755000,234.661000, 0.000000,234.661000,202.572000, 0.000000,202.572000,32.609000, 0.000000,32.609000, 0.029162, 2.582000, 0.000000, 0.483707, 0.071482, 0.000000,-0.071482,1662.694920,10.156855,89.999999,89.999999, 0.000000,10.815000,22.036641,14.295000, 7.456565, 1.569912, 0.000000, 0.000000, 0.000000, 0.000000, 1.994231, 0.018412, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.089000,101290.516207,60.644000, 1.220712, 0.000018, 0.000158,1118.218000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
